"tick","donation-normed-small","donation-small","donation-valued-small"
133.0,26.942604222144585,28.811101665231348,65.0
134.0,26.942604222144585,28.833632194139835,65.0
135.0,26.942604222144585,28.853909571996454,65.0
136.0,26.942604222144585,28.872221941778022,65.0
137.0,26.942604222144585,28.88880887163133,65.0
138.0,26.942604222144585,28.90387140450451,65.0
139.0,26.942604222144585,28.917579677164046,65.0
140.0,26.942604222144585,28.930078774217737,65.0
141.0,26.942604222144585,28.941493280924263,65.0
142.0,26.942604222144585,28.95193086340518,65.0
143.0,26.942604222144585,28.961485112688266,65.0
144.0,26.942604222144585,28.970237825078772,65.0
145.0,26.942604222144585,28.9782608463354,65.0
146.0,26.942604222144585,28.985617574976967,65.0
147.0,26.942604222144585,28.992364196787037,65.0
148.0,26.942604222144585,28.998550705553793,65.0
149.0,26.942604222144585,29.00422175247516,65.0
150.0,26.942604222144585,29.009417357227306,65.0
151.0,26.942604222144585,29.014173506571385,65.0
152.0,26.942604222144585,29.018522660944026,65.0
153.0,26.942604222144585,29.022494185303746,65.0
154.0,26.942604222144585,29.02611471727235,65.0
155.0,26.942604222144585,29.029408483086204,65.0
156.0,26.942604222144585,29.032397569888783,65.0
157.0,26.942604222144585,29.035102161324854,65.0
158.0,26.942604222144585,29.03754074214736,65.0
159.0,26.942604222144585,29.03973027654523,65.0
160.0,26.942604222144585,29.041686364093994,65.0
161.0,26.942604222144585,29.043423376577,65.0
162.0,26.942604222144585,29.044954578392606,65.0
163.0,26.942604222144585,29.04629223282755,65.0
164.0,26.942604222144585,29.047447696118212,65.0
165.0,26.942604222144585,29.048431500926483,65.0
166.0,26.942604222144585,29.049253430611248,65.0
167.0,26.942604222144585,29.049922585473,65.0
168.0,26.942604222144585,29.050447441978324,65.0
169.0,26.942604222144585,29.050835905827757,65.0
170.0,26.942604222144585,29.051095359610642,65.0
171.0,26.942604222144585,29.051232705688097,65.0
172.0,26.942604222144585,29.051254404859794,65.0
173.0,26.942604222144585,29.051166511296188,65.0
174.0,26.942604222144585,29.05097470415588,65.0
175.0,26.942604222144585,29.05068431625394,65.0
176.0,26.942604222144585,29.05030036010123,65.0
177.0,26.942604222144585,29.04982755159544,65.0
178.0,26.942604222144585,29.049270331610312,65.0
179.0,26.942604222144585,29.04863288570023,65.0
180.0,26.942604222144585,29.047919162111725,65.0
181.0,26.942604222144585,29.047132888271477,65.0
182.0,26.942604222144585,29.046277585900835,65.0
183.0,26.942604222144585,29.045356584890346,65.0
184.0,26.942604222144585,29.04437303605272,65.0
185.0,26.942604222144585,29.043329922859968,65.0
186.0,26.942604222144585,29.042230072259116,65.0
187.0,26.942604222144585,29.041076164650715,65.0
188.0,26.942604222144585,29.03987074310584,65.0
189.0,26.942604222144585,29.038616221889257,65.0
190.0,26.942604222144585,29.037314894349734,65.0
191.0,26.942604222144585,29.03596894023234,65.0
192.0,26.942604222144585,29.034580432461933,65.0
193.0,26.942604222144585,29.03315134344272,65.0
194.0,26.942604222144585,29.031683550913996,65.0
195.0,26.942604222144585,29.030178843398506,65.0
196.0,26.942604222144585,29.02863892527662,65.0
197.0,27.24060917973488,25.598060166860336,56.42857142857143
198.0,27.24060917973488,25.600116652908977,56.42857142857143
199.0,27.24060917973488,25.602146947602282,56.42857142857143
200.0,27.24060917973488,25.60415226127829,56.42857142857143
201.0,27.24060917973488,25.604174661264484,56.42857142857143
202.0,27.24060917973488,25.630509043696073,56.42857142857143
203.0,27.24060917973488,25.704604218447198,56.42857142857143
204.0,27.24060917973488,25.908564922835886,56.42857142857143
205.0,27.24060917973488,26.46557319389156,56.42857142857143
206.0,27.24060917973488,27.928553638447834,56.42857142857143
207.0,27.24060917973488,27.977497598282223,56.42857142857143
208.0,27.24060917973488,28.0199703922514,56.42857142857143
209.0,27.24060917973488,28.057239614485386,56.42857142857143
210.0,27.24060917973488,28.090250001322687,56.42857142857143
211.0,27.24060917973488,28.119722045685165,56.42857142857143
212.0,27.24060917973488,28.146216128807556,56.42857142857143
213.0,27.24060917973488,28.17017556951701,56.42857142857143
214.0,27.24060917973488,28.19195632092226,56.42857142857143
215.0,27.24060917973488,28.21184794844709,56.42857142857143
216.0,27.24060917973488,28.23008876141074,56.42857142857143
217.0,27.24060917973488,28.24687693115262,56.42857142857143
218.0,27.24060917973488,28.26237879605146,56.42857142857143
219.0,27.24060917973488,28.276735157741314,56.42857142857143
220.0,27.24060917973488,28.290066118645672,56.42857142857143
221.0,27.24060917973488,28.302474844133776,56.42857142857143
222.0,27.24060917973488,28.314050520891243,56.42857142857143
223.0,27.24060917973488,28.324870706906268,56.42857142857143
224.0,27.24060917973488,28.335003215633794,56.42857142857143
225.0,27.24060917973488,28.34450763969199,56.42857142857143
226.0,27.24060917973488,28.35343659287351,56.42857142857143
227.0,27.24060917973488,28.361836730031047,56.42857142857143
228.0,27.24060917973488,28.36974959032231,56.42857142857143
229.0,27.24060917973488,28.37721229887938,56.42857142857143
230.0,27.24060917973488,28.38425815417285,56.42857142857143
231.0,27.24060917973488,28.39091712245391,56.42857142857143
232.0,27.24060917973488,28.397216256170054,56.42857142857143
233.0,27.24060917973488,28.403180049801637,56.42857142857143
234.0,27.24060917973488,28.40883074389401,56.42857142857143
235.0,27.24060917973488,28.414188585974284,56.42857142857143
236.0,27.24060917973488,28.41927205540214,56.42857142857143
237.0,27.24060917973488,28.424098057906342,56.42857142857143
238.0,27.24060917973488,28.42868209452559,56.42857142857143
239.0,27.24060917973488,28.433038408844027,56.42857142857143
240.0,27.24060917973488,28.437180115745186,56.42857142857143
241.0,27.24060917973488,28.441119314367626,56.42857142857143
242.0,27.24060917973488,28.444867187505782,56.42857142857143
243.0,27.24060917973488,28.448434089339436,56.42857142857143
244.0,27.24060917973488,28.451829623079785,56.42857142857143
245.0,27.24060917973488,28.4550627098754,56.42857142857143
246.0,27.24060917973488,28.45814165011912,56.42857142857143
247.0,27.24060917973488,28.461074178128467,56.42857142857143
248.0,27.24060917973488,28.463867511030852,56.42857142857143
249.0,27.24060917973488,28.466528392567103,56.42857142857143
250.0,27.24060917973488,28.46906313242697,56.42857142857143
251.0,27.24060917973488,28.471477641646594,56.42857142857144
252.0,27.24060917973488,28.473777464526243,56.42857142857142
253.0,27.24060917973488,28.475967807466503,56.42857142857143
254.0,27.24060917973488,28.478053565068997,56.42857142857143
255.0,27.24060917973488,28.48003934380401,56.42857142857142
256.0,27.24060917973488,28.481929483509024,56.42857142857143
257.0,27.24060917973488,28.483728076949944,56.42857142857143
258.0,27.24060917973488,28.48543898764847,56.42857142857143
259.0,27.24060917973488,28.4870658661548,56.42857142857144
260.0,27.24060917973488,28.488612164923875,56.42857142857143
