"tick","big-power","big-universalsim","small-power","small-universalsim"
369.0,30.0,66.0,2.0,4.0
370.0,30.0,66.0,2.0,4.0
371.0,30.0,66.0,2.0,4.0
372.0,30.0,66.0,2.0,4.0
373.0,30.0,66.0,2.0,4.0
374.0,30.0,66.0,2.0,4.0
375.0,30.0,66.0,2.0,4.0
376.0,30.0,66.0,2.0,4.0
377.0,30.0,66.0,2.0,4.0
378.0,30.0,66.0,2.0,4.0
379.0,30.0,66.0,2.0,4.0
380.0,30.0,66.0,2.0,4.0
381.0,30.0,66.0,2.0,4.0
382.0,30.0,66.0,2.0,4.0
383.0,30.0,66.0,2.0,4.0
384.0,30.0,66.0,2.0,4.0
385.0,30.0,66.0,2.0,4.0
386.0,30.0,66.0,2.0,4.0
387.0,30.0,66.0,2.0,4.0
388.0,30.0,66.0,2.0,4.0
389.0,30.0,66.0,2.0,4.0
390.0,30.0,66.0,2.0,4.0
391.0,30.0,66.0,2.0,4.0
392.0,30.0,66.0,2.0,4.0
393.0,30.0,66.0,2.0,4.0
394.0,30.0,66.0,2.0,4.0
395.0,30.0,66.0,2.0,4.0
396.0,30.0,66.0,2.0,4.0
397.0,30.0,66.0,2.0,4.0
398.0,30.0,66.0,2.0,4.0
399.0,30.0,66.0,2.0,4.0
400.0,30.0,66.0,2.0,4.0
401.0,30.0,66.0,2.0,4.0
402.0,30.0,66.0,2.0,4.0
403.0,30.0,66.0,2.0,4.0
404.0,30.0,66.0,2.0,4.0
405.0,30.0,66.0,2.0,4.0
406.0,30.0,66.0,2.0,4.0
407.0,30.0,66.0,2.0,4.0
408.0,30.0,66.0,2.0,4.0
409.0,30.0,66.0,2.0,4.0
410.0,30.0,66.0,2.0,4.0
411.0,30.0,66.0,2.0,4.0
412.0,30.0,66.0,2.0,4.0
413.0,30.0,66.0,2.0,4.0
414.0,30.0,66.0,2.0,4.0
415.0,30.0,66.0,2.0,4.0
416.0,30.0,66.0,2.0,4.0
417.0,30.0,66.0,2.0,4.0
418.0,30.0,66.0,2.0,4.0
419.0,30.0,66.0,2.0,4.0
420.0,30.0,66.0,2.0,4.0
421.0,30.0,66.0,2.0,4.0
422.0,30.0,66.0,2.0,4.0
423.0,30.0,66.0,2.0,4.0
424.0,30.0,66.0,2.0,4.0
425.0,30.0,66.0,2.0,4.0
426.0,30.0,66.0,2.0,4.0
427.0,30.0,66.0,2.0,4.0
428.0,30.0,66.0,2.0,4.0
429.0,30.0,66.0,2.0,4.0
430.0,30.0,66.0,2.0,4.0
431.0,30.0,66.0,2.0,4.0
432.0,30.0,66.0,2.0,4.0
433.0,30.0,66.0,2.0,4.0
434.0,30.0,66.0,2.0,4.0
435.0,30.0,66.0,2.0,4.0
436.0,30.0,66.0,2.0,4.0
437.0,30.0,66.0,2.0,4.0
438.0,30.0,66.0,2.0,4.0
439.0,30.0,66.0,2.0,4.0
440.0,30.0,66.0,2.0,4.0
441.0,30.0,66.0,2.0,4.0
442.0,30.0,66.0,2.0,4.0
443.0,30.0,66.0,2.0,4.0
444.0,30.0,66.0,2.0,4.0
445.0,30.0,66.0,2.0,4.0
446.0,30.0,66.0,2.0,4.0
447.0,30.0,66.0,2.0,4.0
448.0,30.0,66.0,2.0,4.0
449.0,30.0,66.0,2.0,4.0
450.0,30.0,66.0,2.0,4.0
451.0,30.0,66.0,2.0,4.0
452.0,30.0,66.0,2.0,4.0
453.0,30.0,66.0,2.0,4.0
454.0,30.0,66.0,2.0,4.0
455.0,30.0,66.0,2.0,4.0
456.0,30.0,66.0,2.0,4.0
457.0,30.0,66.0,2.0,4.0
458.0,30.0,66.0,2.0,4.0
459.0,30.0,66.0,2.0,4.0
460.0,30.0,66.0,2.0,4.0
461.0,30.0,66.0,2.0,4.0
462.0,30.0,66.0,2.0,4.0
463.0,30.0,66.0,2.0,4.0
464.0,30.0,66.0,2.0,4.0
465.0,30.0,66.0,2.0,4.0
466.0,30.0,66.0,2.0,4.0
467.0,30.0,66.0,2.0,4.0
468.0,30.0,66.0,2.0,4.0
469.0,30.0,66.0,2.0,4.0
470.0,30.0,66.0,2.0,4.0
471.0,30.0,66.0,2.0,4.0
472.0,30.0,66.0,2.0,4.0
473.0,30.0,66.0,2.0,4.0
474.0,30.0,66.0,2.0,4.0
475.0,30.0,66.0,2.0,4.0
476.0,30.0,66.0,2.0,4.0
477.0,30.0,66.0,2.0,4.0
478.0,30.0,66.0,2.0,4.0
479.0,30.0,66.0,2.0,4.0
480.0,30.0,66.0,2.0,4.0
481.0,30.0,66.0,2.0,4.0
482.0,30.0,66.0,2.0,4.0
483.0,30.0,66.0,2.0,4.0
484.0,30.0,66.0,2.0,4.0
485.0,30.0,66.0,2.0,4.0
