"tick","donation-normed-big","donation-big group","donation-valued-big"
122.0,92.4995463076013,94.38887112306683,95.0
123.0,92.4995463076013,94.38862178104455,95.0
124.0,92.4995463076013,94.38837547428291,95.0
125.0,92.4995463076013,94.38813214168007,95.0
126.0,92.4995463076013,94.38789172384317,95.0
127.0,92.4995463076013,94.38765416302688,95.0
128.0,92.4995463076013,94.3874194030756,95.0
129.0,92.4995463076013,94.38718738936717,95.0
130.0,92.4995463076013,94.38695806875965,95.0
131.0,92.4995463076013,94.38673138954,95.0
132.0,92.4995463076013,94.38650730137536,95.0
133.0,92.4995463076013,94.38628575526558,95.0
134.0,92.4995463076013,94.38606670349856,95.0
135.0,92.4995463076013,94.38585009960667,95.0
136.0,92.4995463076013,94.38563589832572,95.0
137.0,92.4995463076013,94.38542405555506,95.0
138.0,92.4995463076013,94.38521452831893,95.0
139.0,92.4995463076013,94.38500727473065,95.0
140.0,92.4995463076013,94.3848022539566,95.0
141.0,92.4995463076013,94.38459942618293,95.0
142.0,92.4995463076013,94.38439875258284,95.0
143.0,92.4995463076013,94.38420019528535,95.0
144.0,92.4995463076013,94.38400371734527,95.0
145.0,92.4995463076013,94.38380928271427,95.0
146.0,92.4995463076013,94.38361685621308,95.0
147.0,92.4995463076013,94.38342640350474,95.0
148.0,92.4995463076013,94.38323789106893,95.0
149.0,92.4995463076013,94.38305128617701,95.0
150.0,92.4995463076013,94.38286655686818,95.0
151.0,92.4995463076013,94.3826836719265,95.0
152.0,92.4995463076013,94.38250260085887,95.0
153.0,92.4995463076013,94.38232331387314,95.0
154.0,92.4995463076013,94.38214578185824,95.0
155.0,92.4995463076013,94.38196997636365,95.0
156.0,92.4995463076013,94.3817958695807,95.0
157.0,92.4995463076013,94.38162343432363,95.0
158.0,92.4995463076013,94.38145264401233,95.0
159.0,92.4995463076013,94.3812834726546,95.0
160.0,92.4995463076013,94.3811158948297,95.0
161.0,92.4995463076013,94.38094988567248,95.0
162.0,92.4995463076013,94.3807854208574,95.0
163.0,92.4995463076013,94.38062247658416,95.0
164.0,92.4995463076013,94.3804610295628,95.0
165.0,92.4995463076013,94.38030105699961,95.0
166.0,92.4995463076013,94.38014253658424,95.0
167.0,92.4995463076013,94.37998544647581,95.0
168.0,92.4995463076013,94.37982976529076,95.0
169.0,92.4995463076013,94.37967547209063,95.0
170.0,92.4995463076013,94.37952254636994,95.0
171.0,92.4995463076013,94.37937096804497,95.0
172.0,92.4995463076013,94.3792207174425,95.0
173.0,92.4995463076013,94.3790717752893,95.0
174.0,92.4995463076013,94.37892412270155,95.0
