"tick","donation-big group","donation-small","donation-normed-big","donation-normed-small","donation-valued-big","donation-valued-small"
35.0,95.0,95.0,25.0,25.0,95.0,95.0
36.0,95.0,95.0,25.0,25.0,95.0,95.0
37.0,95.0,95.0,25.0,25.0,95.0,95.0
38.0,95.0,95.0,25.0,25.0,95.0,95.0
39.0,95.0,95.0,25.0,25.0,95.0,95.0
40.0,95.0,95.0,25.0,25.0,95.0,95.0
41.0,95.0,95.0,25.0,25.0,95.0,95.0
42.0,95.0,95.0,25.0,25.0,95.0,95.0
43.0,95.0,95.0,25.0,25.0,95.0,95.0
44.0,95.0,95.0,25.0,25.0,95.0,95.0
45.0,95.0,95.0,25.0,25.0,95.0,95.0
46.0,95.0,95.0,25.0,25.0,95.0,95.0
47.0,95.0,95.0,25.0,25.0,95.0,95.0
48.0,95.0,95.0,25.0,25.0,95.0,95.0
49.0,50.01021018216076,45.010198412698415,45.61576147349369,48.179894179894184,50.0,45.0
50.0,50.02042036432151,45.02039682539682,45.61576147349369,48.179894179894184,50.0,45.0
51.0,50.03063054648227,45.03059523809524,45.61576147349369,48.179894179894184,50.0,45.0
52.0,50.040840728643026,45.040793650793645,52.007183391260305,51.24309854497355,50.0,45.0
53.0,50.03341517938218,45.032679276027665,57.907522032329155,54.308132068884966,50.0,45.0
54.0,50.09342044802065,45.090314565522775,57.907522032329155,54.308132068884966,50.0,45.0
55.0,50.2955508345605,45.289911142715546,57.907522032329155,54.308132068884966,50.0,45.0
56.0,50.88401734645919,45.87539850860157,57.907522032329155,54.308132068884966,50.0,45.0
57.0,52.52939371717233,47.51697542560258,57.907522032329155,54.308132068884966,50.0,45.0
58.0,56.78519566840202,51.76153374549862,57.907522032329155,54.308132068884966,50.0,45.0
59.0,56.587117042849286,51.535336843810015,57.907522032329155,54.308132068884966,50.0,45.0
60.0,55.77130174975365,50.643407894642536,57.907522032329155,54.308132068884966,50.0,45.0
61.0,53.31305841751915,47.97854356983567,57.907522032329155,54.308132068884966,50.0,45.0
62.0,46.20050615681023,36.7066034927146,57.907522032329155,54.308132068884966,50.0,45.0
63.0,40.08104462584115,32.00434557540666,57.907522032329155,54.308132068884966,50.0,45.0
64.0,40.1065505263251,31.752092864877643,57.907522032329155,54.308132068884966,50.0,45.0
65.0,39.586647240832534,36.0442576270097,57.907522032329155,54.308132068884966,50.0,45.0
66.0,40.08620822735055,35.91052045820272,57.907522032329155,54.308132068884966,50.0,45.0
67.0,39.95073911218839,35.790914473816656,57.907522032329155,54.308132068884966,50.0,45.0
68.0,39.82880460753033,35.68311194153556,57.907522032329155,54.308132068884966,50.0,45.0
69.0,40.058934251233694,35.58528930097897,57.907522032329155,54.308132068884966,50.0,45.0
70.0,39.96156905112103,35.495994817816694,57.907522032329155,54.308132068884966,50.0,45.0
71.0,39.8723178186555,35.41405639299027,57.907522032329155,54.308132068884966,50.0,45.0
72.0,39.790115525119965,35.33851587078615,57.907522032329155,54.308132068884966,50.0,45.0
73.0,40.06666871189218,35.268581285368015,57.907522032329155,54.308132068884966,50.0,45.0
74.0,39.99851947680082,35.20359152705227,57.907522032329155,54.308132068884966,50.0,45.0
75.0,39.93502063077197,35.14298978116487,57.907522032329155,54.308132068884966,50.0,45.0
76.0,39.87566735897828,35.086303275310975,57.907522032329155,54.308132068884966,50.0,45.0
77.0,39.82002826148978,35.03312763683307,57.907522032329155,54.308132068884966,50.0,45.0
78.0,40.131052193898086,34.98311466897637,57.907522032329155,54.308132068884966,50.0,44.99999999999999
79.0,40.08354170937229,34.93596269614139,57.907522032329155,54.308132068884966,50.0,45.00000000000001
80.0,40.038674314347546,34.8914088633546,57.907522032329155,54.308132068884966,50.0,45.0
81.0,39.99621411373675,34.84922293891561,57.907522032329155,54.308132068884966,50.0,45.0
82.0,39.95595363392807,34.80920228521686,57.907522032329155,54.308132068884966,50.0,45.0
83.0,39.91770957092314,34.77116774604928,57.907522032329155,54.308132068884966,50.0,45.0
84.0,39.88131929030382,34.73496025928631,57.907522032329155,54.308132068884966,50.0,45.0
85.0,39.84663792690077,34.700438048403555,57.907522032329155,54.308132068884966,50.0,45.0
86.0,39.81353596646646,34.667474279428966,57.907522032329155,54.308132068884966,50.0,45.0
87.0,39.78189721751566,34.63595509481159,57.907522032329155,54.308132068884966,50.0,45.0
88.0,40.128987777324184,34.605777954570954,57.907522032329155,54.308132068884966,50.0,45.0
89.0,40.10104553207753,34.57685022952749,57.907522032329155,54.308132068884966,50.0,45.0
90.0,40.07423818992835,34.54908800255079,57.907522032329155,54.308132068884966,50.0,44.99999999999999
91.0,40.04849103851191,34.52241504241817,57.907522032329155,54.308132068884966,50.0,45.00000000000001
92.0,40.023736068135406,34.49676192165422,57.907522032329155,54.308132068884966,50.0,44.99999999999999
93.0,39.99991121857588,34.47206525506562,57.907522032329155,54.308132068884966,50.0,45.00000000000001
94.0,39.97695972673989,34.44826703992574,57.907522032329155,54.308132068884966,50.0,45.0
95.0,39.95482955961138,34.42531408215014,57.907522032329155,54.308132068884966,50.0,45.0
96.0,39.933472919621984,34.4031574955229,57.907522032329155,54.308132068884966,50.0,45.0
97.0,39.91284581176618,34.38175226323035,57.907522032329155,54.308132068884966,50.0,45.00000000000001
98.0,39.89290766355921,34.3610568527414,57.907522032329155,54.308132068884966,50.0,45.0
